image_id,filename,psnr,ssim,lpips,deltaE,hist_corr,best_psnr,worst_psnr,best_ssim,worst_ssim
0,comparison_00.png,4.351615895535763,0.27368368539048415,,,0.37984086359699926,False,True,True,False
1,comparison_01.png,5.2736193335420465,0.32446322795884663,,,0.3006362961010269,False,False,True,False
2,comparison_02.png,4.245012746037688,0.26464518369922657,,,0.3210703398464631,False,True,False,False
3,comparison_03.png,4.874753153546402,0.2515113589239078,,,0.25933580325375755,False,False,False,True
4,comparison_04.png,4.831171108939979,0.25563937324874025,,,0.275184778163519,False,True,False,False
5,comparison_05.png,4.860836786327905,0.25105199021575836,,,0.27112063849931817,False,True,False,True
6,comparison_06.png,4.952284679353963,0.2510839938727937,,,0.25948853371279096,False,False,False,True
7,comparison_07.png,4.942210059619029,0.2645949381237853,,,0.30869648009228356,False,False,False,False
8,comparison_08.png,4.413967777294404,0.2675164178146863,,,0.380756435781704,False,True,True,False
9,comparison_09.png,4.974440500360672,0.256967541873362,,,0.24991709747757695,False,False,False,False
10,comparison_10.png,5.527018828818397,0.2622671496598257,,,0.2523644452772427,True,False,False,False
11,comparison_11.png,5.314708005968648,0.2550917437905135,,,0.25433166889752906,True,False,False,False
12,comparison_12.png,4.965224447672893,0.2567498065619055,,,0.2500559261877686,False,False,False,False
13,comparison_13.png,4.969131227813369,0.25628186451064655,,,0.2500002046735492,False,False,False,False
14,comparison_14.png,5.344143396474651,0.28452316479917816,,,0.2856930654971758,True,False,True,False
15,comparison_15.png,5.363139075032737,0.27532924584205437,,,0.2843411851518672,True,False,True,False
16,comparison_16.png,5.0159910535693575,0.25470218927500166,,,0.2527831016759052,False,False,False,False
17,comparison_17.png,4.945090429612836,0.25422085553540175,,,0.28858998175107325,False,False,False,False
18,comparison_18.png,4.996252986230648,0.2537386669448439,,,0.25400785476265086,False,False,False,True
19,comparison_19.png,5.49113750505532,0.2509488889956737,,,0.2505921007006689,True,False,False,True
